colonyID,GroupSize,minRMSD
'B2_1',2.0000,16.22226167
'B2_2',2.0000,18.20776583
'B2_3',2.0000,16.34212657
'B2_4',2.0000,15.11043559
'B2_5',2.0000,15.79765417
'B2_6',2.0000,15.458263
'B2_7',2.0000,18.74223278
'B2_8',2.0000,18.06054079
'B4_1',4.0000,14.64595032
'B4_2',4.0000,16.2425714
'B4_3',4.0000,17.07090582
'B4_4',4.0000,16.29040846
'B4_5',4.0000,15.64912495
'B4_6',4.0000,16.53329168
'B4_7',4.0000,14.28844523
'B4_8',4.0000,14.44912474
'B6_1',6.0000,15.44985656
'B6_2',6.0000,14.94135188
'B6_3',6.0000,14.48276386
'B6_4',6.0000,15.09584116
'B6_5',6.0000,16.12336084
'B6_6',6.0000,15.90207875
'B6_8',6.0000,14.99732823
'B8_1',8.0000,13.96672758
'B8_2',8.0000,15.02257048
'B8_3',8.0000,13.56430021
'B8_4',8.0000,15.04106767
'B8_5',8.0000,12.68918601
'B8_6',8.0000,14.66174371
'B8_7',8.0000,14.6086989
'B8_8',8.0000,13.18778472
'B12_1',12.0000,13.72236869
'B12_2',12.0000,13.21272565
'B12_3',12.0000,15.14386627
'B12_4',12.0000,13.42303589
'B12_5',12.0000,14.48333902
'B12_6',12.0000,15.4775445
'B12_7',12.0000,14.37664562
'B12_8',12.0000,13.16686487
'B16_2',16.0000,14.32773311
'B16_3',16.0000,12.94269442
'B16_4',16.0000,13.42403146
'B16_5',16.0000,12.60128555
'B16_6',16.0000,13.84586522
'B16_7',16.0000,13.12182051
'B16_8',16.0000,12.59625716
'A2_1',2.0000,15.36038543
'A2_2',2.0000,13.76962258
'A2_3',2.0000,16.34847837
'A2_4',2.0000,15.87721705
'A2_5',2.0000,14.85746701
'A2_6',2.0000,15.95297853
'A2_7',2.0000,14.76806587
'A2_8',2.0000,13.8194539
'A4_1',4.0000,14.41867699
'A4_2',4.0000,13.40193075
'A4_3',4.0000,14.17970705
'A4_4',4.0000,14.32074074
'A4_5',4.0000,12.58119118
'A4_6',4.0000,12.76108962
'A4_7',4.0000,15.70495235
'A4_8',4.0000,13.35728981
'A6_1',6.0000,12.98495514
'A6_2',6.0000,13.71052735
'A6_3',6.0000,16.47356146
'A6_4',6.0000,13.25909117
'A6_5',6.0000,13.79146992
'A6_6',6.0000,13.61493008
'A6_7',6.0000,13.74588654
'A6_8',6.0000,14.49232132
'A8_1',8.0000,12.89480886
'A8_2',8.0000,15.04757858
'A8_3',8.0000,11.63922616
'A8_4',8.0000,12.1118629
'A8_5',8.0000,14.15738265
'A8_6',8.0000,12.45334689
'A8_7',8.0000,13.37609734
'A8_8',8.0000,10.82217074
'A12_1',12.0000,14.41436212
'A12_2',12.0000,13.85957905
'A12_3',12.0000,15.76076393
'A12_4',12.0000,12.45865308
'A12_5',12.0000,12.40321187
'A12_6',12.0000,11.55465978
'A12_7',12.0000,14.05946381
'A12_8',12.0000,13.14575135
'A12_9',12.0000,9.587255843
'A16_1',16.0000,12.64661873
'A16_2',16.0000,9.690712094
'A16_3',16.0000,12.07616621
'A16_4',16.0000,12.05352167
'A16_5',16.0000,9.301626232
'A16_6',16.0000,12.64792329
'A16_7',16.0000,10.91436105